Product,Cod. Bar,F.Price,Date,Qty,Drog
A D VIT SUSP 240 ML                 ,7592601100010,33.12,05/06/2022,,Cobeca
ABRETIA CAP 10 MG X 10              ,7591619520889,54.55,14/06/2022,,Cobeca
ABRETIA CAP 25 MG X 20              ,7591619520902,105.13,14/06/2022,,Cobeca
ABVITOS SOL GTA PED X 30 ML         ,7591821102309,25.57,14/06/2022,,Cobeca
FLUCONAZOL CAP 150 MG X 2   GENVEN  ,7591585274106,7.095,05/06/2022,,Cobeca
ACEITE D/HIGADO D/BACAL EMU 180 ML B,7591616001930,21.05,14/06/2022,,Cobeca
ACEITE RICINO X 30 ML RECETT        ,7594001450153,9.52,15/05/2022,,Cobeca
ACETAMINO/TRAMA TAB 325/37.5 MG X 10,7591519008494,14.445,14/06/2022,,Cobeca
ACETAMINOFEN +PLUS TAB 800 MG X 10 B,7598127000988,4.095,14/06/2022,,Cobeca
ACETAMINOFEN CLORF/MAL JBE 125MG/1MG,7594000851234,11.57,15/05/2022,,Cobeca
ACETAMINOFEN COM 650 MG X 10 BIOQ   ,7594000851258,6.48,15/05/2022,,Cobeca
ACETAMINOFEN COM 650 MG X 10 GVN    ,7591585279057,3.6399999999999997,05/06/2022,,Cobeca
ACETAMINOFEN COM 650 MG X 30 GNV    ,7591585179050,14.32,05/06/2022,,Cobeca
ACETAMINOFEN COMP 500 MG X 10 GNV   ,7591585376657,2.784,05/06/2022,,Cobeca
ACETAMINOFEN COMP 750 MG X 10 BIOQ  ,7594000851289,7.16,15/05/2022,,Cobeca
ACETAMINOFEN SOL 120 MG/5ML X100 ML ,7594000850855,9.6,15/05/2022,,Cobeca
ACETAMINOFEN SOL 180 MG/5 ML X 120 M,7594000850824,12.61,15/05/2022,,Cobeca
ACETAMINOFEN TAB 500 MG X 12 BIOQ   ,7594000850626,6.56,15/05/2022,,Cobeca
CARBAMAZEPINA TAB 200 MG X 300 LAPRO,7703038050124,199.585,15/05/2022,,Cobeca
ACETAMINOFEN TAB 500 MG X 20 LA SANT,7592454000031,6.91,14/06/2022,,Cobeca
ACETAMINOFEN TAB 500 MG X 24 BIOQ   ,7594000850633,10.96,15/05/2022,,Cobeca
ACETAMINOFEN TAB 650 MG X 10 LA SANT,7592454001243,4.81,14/06/2022,,Cobeca
ACETAMINOFEN TAB 650 MG X10 PLX     ,7594001101604,3.86,14/06/2022,,Cobeca
ACETOBEN JBE 120 ML                 ,7592806121018,12.99,15/05/2022,,Cobeca
ACEVAL SOL 180MG/5ML PED X 120 ML   ,7591020008839,12.09,02/06/2022,,Cobeca
ACEVAL TAB 650 MG X 10              ,759102008839,6.156000000000001,02/06/2022,,Cobeca
ACICLOR A.P COM 1 G X 10            ,7591585111838,50.740700000000004,05/06/2022,,Cobeca
ACICLOR CRM AL 5% X 10 G            ,7591585311634,19.5264,05/06/2022,,Cobeca
ACICLOVIR CREM 5% X 5 G MVGA        ,7750215001905,15.92,15/05/2022,,Cobeca
ACICLOVIR CREMA 50 MG X 20GRS       ,7592348201117,22.52,15/05/2022,,Cobeca
ACICLOVIR TAB 200 MG X 10 LATTAN    ,720524031174,7.460999999999999,14/06/2022,,Cobeca
CIPROFLOXACINA SOL INY 200MG/100 ML ,7595624200408,4.885972,15/05/2022,,Cobeca
ACICLOVIR TAB 200 MG X 100 GMP      ,7598252101307,47.498000000000005,29/05/2022,,Cobeca
ACICLOVIR TAB 200 MG X 100 MVGA     ,7750215003602,65.14,15/05/2022,,Cobeca
ACICLOVIR TAB 200 MG X 24 LA SANTE  ,7592454102001,16.58,14/06/2022,,Cobeca
ACICLOVIR TAB 200 MG X 25  POLINAC  ,7592348201100,15.58,15/05/2022,,Cobeca
ACICLOVIR TAB 200 MG X 25 CLX       ,7591519005639,15.591999999999999,14/06/2022,,Cobeca
ACIDO ACETILSALICILICO TAB 81MG X30 ,7598127001046,6.542999999999999,14/06/2022,,Cobeca
ACIDO ACETILSALISILICO COM 81MGX100 ,999,23.12,15/05/2022,,Cobeca
ACIDO ASCORBICO AMP 500MG/5ML X 10 D,17598252101540,62.117999999999995,29/05/2022,,Cobeca
ACIDO ASCORBICO SOL GTA 100MG X30ML ,7594000850282,11.9,15/05/2022,,Cobeca
ACIDO FOLICO AMP 10MG/2ML X 10 DISTR,17598252101571,109.61600000000001,29/05/2022,,Cobeca
ACIDO FOLICO COM 10 MG X 20 G VARGAS,7591136926195,8.554,15/05/2022,,Cobeca
ACIDO FOLICO COM 10 MG X 20 KLI     ,7591619501024,7.273000000000001,14/06/2022,,Cobeca
ACIDO FOLICO COM 10 MG X 30         ,7591585271495,8.040000000000001,05/06/2022,,Cobeca
ACIDO FOLICO COM 10 MG X 30 GENCER  ,7591020008174,9.75,02/06/2022,,Cobeca
ACIDO FOLICO COM 10 MG X 30 KLI     ,7591619000220,9.093,14/06/2022,,Cobeca
ACIDO FOLICO COM 5 MG X 20 KLI      ,7591619501017,3.9,14/06/2022,,Cobeca
ACIDO FOLICO COM 5 MG X 30 KLI      ,7591619000213,7.79,14/06/2022,,Cobeca
ACIDO FOLICO COMP 5 MG X 30 GENVEN  ,7591585271488,8.552,05/06/2022,,Cobeca
ACIDO FOLICO GTA 10 MG X 15 ML DALIO,7592601300779,13.5755,05/06/2022,,Cobeca
GENESA COMR 3 MG/30 MCG X 21        ,7591585116598,51.902499999999996,05/06/2022,,Cobeca
ACIDO FOLICO GTA 15 ML KLI          ,7591619501031,22.08,14/06/2022,,Cobeca
ACIDO FOLICO TAB 10 MG X 10         ,7592601303206,5.712,05/06/2022,,Cobeca
ACIDO FOLICO TAB 10 MG X 20 CLX     ,7591519004892,6.4959999999999996,14/06/2022,,Cobeca
ACIDO FOLICO TAB 10 MG X 20 MEYER   ,7592601300021,10.912,05/06/2022,,Cobeca
ACIDO FOLICO TAB 10 MG X 20 PLX     ,7594001101338,4.78,14/06/2022,,Cobeca
ACIDO FOLICO TAB 10 MG X 30 MEYER   ,7592601301486,12.464,05/06/2022,,Cobeca
ACIDO FOLICO TAB 10 MG X 30 PLX     ,7594001101345,6.91,14/06/2022,,Cobeca
ACIDO FOLICO TAB 5 MG X 10          ,7592601303190,5.192,05/06/2022,,Cobeca
NEUROMIX COMP/REC X 30              ,7591585213365,12.4085,05/06/2022,,Cobeca
ACIDO FOLICO TAB 5 MG X 20  DALIOL  ,7592601300014,8.766,05/06/2022,,Cobeca
ACIDO FOLICO TAB 5 MG X 30 MEYER    ,7592601301479,14.022,05/06/2022,,Cobeca
ACIDO FOLICO TAB 5 MG X 30 PLX      ,7594001101314,5.04,14/06/2022,,Cobeca
ACIDO VALPROICO 200MG/5ML X 100 ML  ,7598252101369,29.2315,29/05/2022,,Cobeca
ACIDO VALPROICO INY 500 MG X 5 ML   ,731299120796,83.53,05/06/2022,,Cobeca
ACIDO VALPROICO TAB 500 MG X 10     ,731299120802,15.6,05/06/2022,,Cobeca
ACITRON -D CAP 250 MG X 30 PRIMAV   ,7593089000083,24.62,14/06/2022,,Cobeca
ACLER TABR 150 MG X 1               ,7591519051865,16.073999999999998,14/06/2022,,Cobeca
ACTIVITON EXTREME CAP BLANDAS  X 30 ,7597189000264,38.616,15/05/2022,,Cobeca
ACUBISINA UNG X 50 G                ,7592306000028,16.88,15/05/2022,,Cobeca
ACUTEN TAB 500 MG X 20              ,7592229000020,24.55,14/06/2022,,Cobeca
ADELGASEN CAP X 30                  ,7592710003707,19.989,05/06/2022,,Cobeca
ADELGASEN CAP X 60                  ,7592710000843,31.554000000000002,05/06/2022,,Cobeca
ADEMINA 3E CREM DERMO/PROT 60 G     ,7591844000590,23.58,15/05/2022,,Cobeca
ADEMINA KIDS CREM ANTIPAÑALITIS 60 G,7591844000583,21.96,15/05/2022,,Cobeca
ADEMINA LOC HIDRATANTE BLANCA KIDS 1,7591844000743,16.42,15/05/2022,,Cobeca
ADEMINA LOC HIDRATANTE ROSADA KIDS 1,7591844000750,16.42,15/05/2022,,Cobeca
ADEMINA PLUS CREM CORP X 60 G       ,7591844000446,20.12,15/05/2022,,Cobeca
ADEMINA SOL JAB 190 ML              ,7591844000606,11.79,15/05/2022,,Cobeca
"ADH D/PAPEL COLOR PIEL 2,54 CM X 4,5",796029455210,3.53,15/05/2022,,Cobeca
"ADH D/PLASTICO TRANSP 2,54 CM X 4,57",796029455289,3.79,15/05/2022,,Cobeca
"ADHESIVO D/PAPEL C/BLANCO 2,54CM X 4",796029455241,3.53,15/05/2022,,Cobeca
ADHESIVO D/TELA BLANCO 2.54 CM X 4.5,723592772666,5.77,15/05/2022,,Cobeca
ADHESIVO D/TELA BLANCO 5.08 CM X 9.1,723592772697,18.86,15/05/2022,,Cobeca
AFLAMAX TAB/REC 50 MG X 10          ,7591196007186,4.352,14/06/2022,,Cobeca
AFLAMAX TAB/REC 50 MG X 20          ,7591196004451,7.6075,14/06/2022,,Cobeca
AFOKLIN COM 10 MG X 20              ,7591619163024,10.39,14/06/2022,,Cobeca
AFOKLIN COM 5 MG X 20               ,7591619163017,2.6,14/06/2022,,Cobeca
AFOKLIN GTA 10 MG X 15 ML           ,7591619163031,22.08,14/06/2022,,Cobeca
AGUA ALFA ESTERIL 500 ML            ,7468999188117,6.88,14/06/2022,,Cobeca
AGUA DESTILADA INY NUM 49 X 500 ML B,7592637000391,22.08,15/05/2022,,Cobeca
AGUA OXIG LAFARQUIM 500 ML          ,7591956110231,5.1,15/05/2022,,Cobeca
AIRFEN GTA ADU X 15 ML              ,7591818111017,14.06,14/06/2022,,Cobeca
AIRFEN GTA PED X 15 ML              ,7591818111024,14.06,14/06/2022,,Cobeca
AIRON TAB ADU 10 MG X 10            ,7591196002563,11.178,14/06/2022,,Cobeca
AIRON TAB/MAST 4 MG X 10            ,7591196002952,7.51,14/06/2022,,Cobeca
AIRON TAB/MAST PED 5 MG X 10        ,7591196002549,11.06,14/06/2022,,Cobeca
AIRON TABM 4 MG X 30                ,7591196002945,21.83,14/06/2022,,Cobeca
AIRON TABM PED 5 MG X 30            ,7591196002792,22.73,14/06/2022,,Cobeca
ALANTAMIDA PDA X 20 G               ,7592601100645,16.005499999999998,05/06/2022,,Cobeca
ALBENDAZOL SUS 400 MG X 20 ML  ELTER,7592454120364,12.43,14/06/2022,,Cobeca
ALBENDAZOL SUSP 100 MG/5 ML X 20 ML ,7750215796634,11.84,15/05/2022,,Cobeca
ALBENDAZOL TAB 200 MG X 2           ,7594001100263,3.48,14/06/2022,,Cobeca
ALBENDAZOL TAB 200 MG X 2 ELTER     ,7592454003261,5.53,14/06/2022,,Cobeca
ULGARIN CAP 20 MG X 16              ,7591585419606,14.0925,05/06/2022,,Cobeca
ALBENDAZOL TAB 200 MG X 6 LA SANTE  ,7592454120371,13.82,14/06/2022,,Cobeca
ALBENDAZOL TAB/MAST T/FRUTTI 200MGX2,7591519007022,4.496,14/06/2022,,Cobeca
ALBICAR SUS 400 MG X 10 ML          ,7591062010029,8.88,15/05/2022,,Cobeca
ALBICAR TAB 200 MG X 2              ,7591062010036,4.26,15/05/2022,,Cobeca
ALBICAR TAB 200 MG X 6              ,7591062010173,7.78,15/05/2022,,Cobeca
