Cod. Bar,Product,F.Price,Qty,Date,Drog
7592432009384,LEVAX 50 MG X 1 CAP BLANDAS,4.78,,22/05/2022,Drolanca
7703153039424,KIMOD (IVERMECTINA) 3MG X 7 CAPS BLANDAS,7.585,,22/05/2022,Drolanca
7592806112115,RONAVIT VITAMINA B1-B6-B12 VIAL 2ML,6.49,,22/05/2022,Drolanca
7702605103720,CANDESARTAN 8 MG X 14 TAB,17.84,,22/05/2022,Drolanca
7502226295961,LOSARTAN 50 MG X 15 TAB,5.3,,22/05/2022,Drolanca
7592946012801,RABANO YODADO 120 ML,16.47,,22/05/2022,Drolanca
7592946168324,CENTELLA CON ALCACHOFA X 90 CAPS,30.429000000000002,,22/05/2022,Drolanca
7592946006022,GINSENG X 60 CAPSULAS,30.429000000000002,,22/05/2022,Drolanca
7592946000013,ARTRISAN 300MG X 90 CAPSULAS,18.351,,22/05/2022,Drolanca
7592946064244,ESTIN JARABE 240 ML,21.168,,22/05/2022,Drolanca
7592946168553,CLORURO DE MAGNESIO 240 ML,22.374,,22/05/2022,Drolanca
7592946064251,NERSAN JARABE 240 ML,16.371000000000002,,22/05/2022,Drolanca
7592946169628,ZANAES JARABE 240ML,19.638,,22/05/2022,Drolanca
7592946000099,QUINCHONCHO 90 CAPSULAS,21.276,,22/05/2022,Drolanca
7592946168287,NERSAN X 90 CAPSULAS,25.2,,22/05/2022,Drolanca
7592946012788,PASIFLORA 120ML JARABE,12.096,,22/05/2022,Drolanca
7592946012870,ZARZAPARRILLA 120 ML JARABE,12.096,,22/05/2022,Drolanca
7592946168560,BERRO 240 ML,21.978,,22/05/2022,Drolanca
7592946006008,CASCARA SAGRADA 60 CAPSULAS,30.429000000000002,,22/05/2022,Drolanca
7592946169673,SAW PALMETTO X 60 CAPSULAS,32.31,,22/05/2022,Drolanca
7592946168430,ZARZAPARRILLA 300MG X 90 CAPSULAS,16.236,,22/05/2022,Drolanca
7592946005988,GINKO BILOBA X 60 CAPSULAS,30.429000000000002,,22/05/2022,Drolanca
7592946007074,MACA X 60 CAP,30.429000000000002,,22/05/2022,Drolanca
7592946169611,ZANAES 90 CAPSULAS,19.638,,22/05/2022,Drolanca
7592946168423,VALERIANA X 90 CAPSULAS,18.351,,22/05/2022,Drolanca
7592946169710,VITAMINA E X 60 CAPSULAS,42.588,,22/05/2022,Drolanca
7592946169635,OMEGA 3 X 60 CAPSULAS,40.455000000000005,,22/05/2022,Drolanca
7592946001164,ZABILA 30 CAPSULAS,17.090999999999998,,22/05/2022,Drolanca
7592946169659,OMEGA 3 6 9 X 60 CAPSULAS,40.455000000000005,,22/05/2022,Drolanca
7592946007104,CASTAÑO DE INDIAS X 60 CAPSULAS,30.429000000000002,,22/05/2022,Drolanca
7592946169697,COLAGENO CON VITAMINA C X 60 CAP,31.59,,22/05/2022,Drolanca
7592946056003,JENGIBRE MIEL 120 ML,19.611,,22/05/2022,Drolanca
7592946150633,EUCAMIEL 120ML JARABE,14.238,,22/05/2022,Drolanca
7592946169918,LEVADURA DE CERVEZA X 60 CAPS,30.429000000000002,,22/05/2022,Drolanca
0,GLUCOSAMINA X 60 CAPSULAS,36.981,,22/05/2022,Drolanca
0,CENTELLASAN X 90 CAPSULAS,30.429000000000002,,22/05/2022,Drolanca
0,ÑAME SALVAJE 60 CAPSULAS,30.429000000000002,,22/05/2022,Drolanca
0,VENOSAN X 90 CAPSULAS,25.146,,22/05/2022,Drolanca
1759225300307,COMPLEJO B VITAMINA 3 ML X 100 AMP IM/IV,363.64,,22/05/2022,Drolanca
7592253001710,ZINC 50 MG X 60 TAB,17.73,,22/05/2022,Drolanca
7592710001949,COLLAGENED PLUS X 60 CAP,20.78,,22/05/2022,Drolanca
7592710001048,SABEMIEL CEBOLLA MORADA JARABE 180 ML,12.99,,22/05/2022,Drolanca
7592710001062,SABEMIEL PLUS JARABE 180 ML,12.99,,22/05/2022,Drolanca
7592710001055,SABEMIEL JENGIBRE JARABE 180 ML,12.99,,22/05/2022,Drolanca
7592710001031,SABEMIEL EUCALIPTO JARABE 180 ML,12.99,,22/05/2022,Drolanca
7703763165056,GLIMEPIRIDE 2 MG X 16 TAB (LA SANTE),12.43,,22/05/2022,Drolanca
7592454891424,VALSARTAN+AMLODIPINA 160/10MG TAB X 10,9.88,,22/05/2022,Drolanca
7703763200627,GLUSTAR 20 MG X 14 TAB,7.57,,22/05/2022,Drolanca
7703763268863,CIPROFIBRATO 100MG X 30 TAB (LA SANTE),23.44,,22/05/2022,Drolanca
7703763200610,GLUSTAR 10 MG X 14 TAB,3.44,,22/05/2022,Drolanca
7703763791569,KETOROLACO TROMETAMINA 30MG X 4 TAB.,12.43,,22/05/2022,Drolanca
7592454891417,VALSARTAN+AMLODIPINA 80/5MG TABX 10,4.56,,22/05/2022,Drolanca
7592454889667,"MOMEQ 0,1% CREMA X 15 GR",8.6,,22/05/2022,Drolanca
7597189000127,KELP-LECITHIN B-6 X 30 TAB,29.872000000000003,,22/05/2022,Drolanca
7597189000189,VALERIANA 250 MG X 30 CAP BLANDAS,29.0,,22/05/2022,Drolanca
7597189000035,MEN XTRA (VITAMINAS Y MINERALES) X 30TAB,29.976,,22/05/2022,Drolanca
7597189215217,PICOLINATO DE CROMO 60 TABLETAS,25.768,,22/05/2022,Drolanca
7597189000097,CITRATO DE CALCIO CON VIT D3 X 30 TAB,40.727999999999994,,22/05/2022,Drolanca
7597189000066,GERIATECH (VIT Y MIN) X 30 CAP B,34.792,,22/05/2022,Drolanca
7597189000080,CENTAB-BETA (VIT Y MIN X 30 TAB,30.848000000000003,,22/05/2022,Drolanca
8901463129944,LOSARTAN 50 MG 30 TABLETAS RECUBIERTAS,8.77,,22/05/2022,Drolanca
