Cod. Bar,Product,F.Price,Qty,Drog,Date
1010.0,AMLODIPINA 10MG X 10 TAB BALAXI (BLISTER),1.887,4,Vitalclinic,05/06/2022
1016.0,FORMOL AL 37% 500 ML (VITALCLINIC),26.622,4,Vitalclinic,05/06/2022
1017.0,FORMOL AL 37% 1 LT (VITALCLINIC),47.9196,4,Vitalclinic,05/06/2022
1111.0,VORICONAZOL  (VORITIME-200) 200 MG X 4 TAB (BIOFAST) ASIA,61.2,,Vitalclinic,05/06/2022
2027.0,ORTOBAN GUATA 8''X3YDS (20CMX2.70M) / 6 ROLLOS,88.73999999999998,,Vitalclinic,05/06/2022
3012.0,ALCOHOL ABSOLUTO 250 ML  (VITALCLINIC),13.26,,Vitalclinic,05/06/2022
3014.0,ALCOHOL SPRAY ANTISEPTICO 70% 220ML (VITALCLINIC),10.454999999999998,,Vitalclinic,05/06/2022
3016.0,ALCOHOL ANTISEPTICO 70% 500ML (VITALCLINIC),10.2,,Vitalclinic,05/06/2022
3017.0,ALCOHOL ANTISEPTICO 70% 1LTR (VITALCLINIC),19.38,,Vitalclinic,05/06/2022
3023.0,VASELINA 100 GR (VITALCLINIC),15.9732,,Vitalclinic,05/06/2022
4776.0,BALSAMO DESMAQUILLANTE MORADO 100 GR SALOME,41.41199999999999,,Vitalclinic,05/06/2022
9520.0,MASCARILLA KN95 BLANCA SIN FILTRO X 20 PCS (PAQUETE),28.559999999999995,,Vitalclinic,05/06/2022
9525.0,MASCARILLA KN95 BLANCA X 25 PCS  (PAQUETE),35.7,,Vitalclinic,05/06/2022
10126.0,SISTEMA DE DRENAJE TORAXICO (PLEUR-EVAC) ADULT/ PEDI (TELEFLEX),484.5,,Vitalclinic,05/06/2022
20164.0,SUTURA NYLON 2-0 164 CURVA (JHC),2.3664,,Vitalclinic,05/06/2022
425698.0,CETIRIZINA COM/REC 10 MG X 20 DORO  ,43.09,,Cobeca,15/05/2022
1100181.0,JARABE PASSIFLORA PLUS 180ML,12.42,,Dismeven,29/05/2022
1100198.0,JARABE DE SEN (SENOLAX) 120ML,11.54,,Dismeven,29/05/2022
3847498.0,GABAMOX CAP 300 MG X 60 DORO        ,145.6,,Cobeca,15/05/2022
4065595.0,TAMOXIFENO COMP 20 MG X 60 DORO     ,244.47,,Cobeca,15/05/2022
4256798.0,CETIRIZINA 10MG X 20 COMP REC (BLUEPHARM,43.09,,Drolanca,22/05/2022
4424396.0,TICLOPIDINA 250MG X 60 COMP RECB (BLU,24.65,,Drolanca,22/05/2022
5007786.0,AMLODIPINA COM 5 MG X 60 DORO       ,42.82,,Cobeca,15/05/2022
5008081.0,AMLODIPINA 10mg X 60 COMP (BLUEPHARMA),64.56,,Drolanca,22/05/2022
5050414.0,BISOPROLOL 5MG X 60 COMP REC,70.23,,Drolanca,22/05/2022
5065644.0,ANASTROZOL COM/REC 1 MG X 30 DORO   ,259.32,,Cobeca,15/05/2022
5078217.0,TOPIRAMATO COMP 25 MG X 60 DORO     ,116.16,,Cobeca,15/05/2022
5125802.0,DONEPEZILO 5mg X 56 COMP REC (BLUEPHARMA,173.43,,Drolanca,22/05/2022
5140900.0,BICALUTAMIDA COM/REC 50 MG X 30 DORO,283.64,,Cobeca,15/05/2022
