Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0
Cod. Art.,Descripción del Artículo,PRINCIPIO ACTIVO ,C. Prov.,Proveedor,Cod. Ind.,Departamento,Precio Mayoreo,EXISTENCIA,OFERTAS,CANTIDAD MINIMA,PRECIO OFERTA,DIAS DE CREDITO ,PEDIDO,MONTO PEDIDO
1,A D VIT SUSP 240 ML                 ,VIT A/D/CALCIO,622,"MEYER PRODUCTOS TERAPEUTICOS, S.A. ",7592601100010,MEDICINAS                     ,33.12,53,0,0,33.12,21,,0
17769,ABRETIA CAP 10 MG X 10              ,ATOMOXETINA,240,"MEGALABS VZL, C.A.                 ",7591619520889,MEDICINAS                     ,54.55,79,0,0,54.55,30,,0
17768,ABRETIA CAP 25 MG X 20              ,ATOMOXETINA,240,"MEGALABS VZL, C.A.                 ",7591619520902,MEDICINAS                     ,105.13,35,0,0,105.13,30,,0
2386,ABVITOS SOL GTA PED X 30 ML         ,VIT A/D/C,1082,LABORATORIOS FARMA S.A             ,7591821102309,MEDICINAS                     ,25.57,80,0,0,25.57,30,,0
4546,FLUCONAZOL CAP 150 MG X 2   GENVEN  ,0,571,"LABORATORIOS LETI, S.A.V.          ",7591585274106,MEDICINAS                     ,14.19,11,0.5,0,7.095,21,,
21418,ACEITE D/HIGADO D/BACAL EMU 180 ML B,NO APLICA,906,"LABORATORIO BIOFARCO, C.A.         ",7591616001930,MEDICINAS                     ,21.05,85,0,0,21.05,30,,0
16873,ACEITE RICINO X 30 ML RECETT        ,ACEITE DE RICINO,1001,"LABORATORIO RECETTEMARK, C.A.      ",7594001450153,MEDICINAS                     ,9.52,82,0,0,9.52,0,,0
99582,ACETAMINO/TRAMA TAB 325/37.5 MG X 10,ACETAMINOFEN/TRAMADOL,483,"CALOX INTERNATIONAL, C.A.          ",7591519008494,MEDICINAS                     ,19.26,1025,0.25,0,14.445,30,,0
23885,ACETAMINOFEN +PLUS TAB 800 MG X 10 B,ACETAMINOFEN,1444,REPRESENTACIONES BLUE MEDICAL TRADE,7598127000988,MEDICINAS                     ,4.55,1565,0.1,0,4.095,30,,0
23925,ACETAMINOFEN CLORF/MAL JBE 125MG/1MG,ACETAMINOFEN/CLORFENIRAMINA,1023,"BIOQUIMICA INTERNACIONAL, C.A.     ",7594000851234,MEDICINAS                     ,11.57,180,0,0,11.57,0,,0
21621,ACETAMINOFEN COM 650 MG X 10 BIOQ   ,ACETAMINOFEN,1023,"BIOQUIMICA INTERNACIONAL, C.A.     ",7594000851258,MEDICINAS                     ,6.48,1747,0,0,6.48,0,,0
