Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,FECHA DEL PEDIDO:,,,VENDEDOR:,ING. JESUS EDUARDO TOVAR,,NUEVO INGRESO / DE INTERÉS,,,,
,,,,,TELÉFONO:,0412-423.5961,,,,,,
,,,,,,,,,,,,
,,,TOTAL PEDIDO Bs.:,TOTAL  UNIDADES PEDIDAS:,TASA (Bs/$) HOY: 13/5/2022,TOTAL PEDIDO REFERECIAL EN $.:,,,,,,
,,,0,0,4.718,0,,,,,,
CODIGO CLIENTE:,,0,,,,,,,,,,
NOMBRE DEL CLIENTE:,,,PRECIOS DEL:,2022-05-13 00:00:00,,,,,,,,
,,,,,,,,,,,,
ARTI.,CANTIDAD,DESCRIPCION PRODUCTO,PRECIO UNITARIO EN Bs,PRECIO EQUIVALENTE EN $,UNIDAD DE VENTA,MARCA,CATEGORÍA,"UNIDAD DE 
EMPAQUE",CODIGO DE BARRA,FECHA DE VENCIMIENTO,SUB TOTAL PRODUCTOS EN $,SUB TOTAL PRODUCTOS EN Bs
M-1577,,AB CALCIUM B12 X 240 ML SUSPENSION ORAL,7.9828125000000005,1.691990779991522,FRASCO X 240 ML,AIRELA,NACIONAL / IMPORTADO,,7894164005901,,0,0
M-1578,,AB CALCIUM D3 X 240 ML SUSPENSION ORAL SABOR FRESA,8.419531249999999,1.7845551610852053,FRASCO X 240 ML,AIRELA,NACIONAL / IMPORTADO,,7894164008087,,0,0
D-0052,,ACEITE DE ALMENDRAS EXTRAFINO 30 ML,8.24,1.7465027554048327,FRASCO X 30 ML,FARMAGENIK,NACIONAL / IMPORTADO,,0112244301147,,0,0
D-0123,,ACEITE DE COCO EXTRAFINO 30 ML,6.68,1.4158541754980924,FRASCO X 30 ML,FARMAGENIK,NACIONAL / IMPORTADO,,0112244301154,,0,0
D-0053,,ACEITE DE RICINO EXTRAFINO 30 ML,17.35,3.67740568037304,FRASCO X 30 ML,FARMAGENIK,NACIONAL / IMPORTADO,,0112244301130,,0,0
D-0124,,ACEITE MINERAL EXTRAFINO 30 ML,10.04,2.128020347604917,FRASCO X 30 ML,FARMAGENIK,NACIONAL / IMPORTADO,,0112244301123,,0,0
L-0035,,ACETAMINOFEN (PARACETAMOL)  500 MG TABLETAS,1.9912698412698413,0.42205804181217493,BLISTER X 10 TAB,LAND,NACIONAL / IMPORTADO,,7598008000083,,0,0
M-0125,,"ACETAMINOFEN + TRAMADOL 325/37,5MG X 10 TAB",16.8,3.560830860534125,CAJA X 10 TAB,CALOX ,PSICOTROPICO / ESTUPEFACIENTE,1,7591519008494,,0,0
M-0325,,ACETAMINOFEN 10% SOLUCION ORAL GOTAS,5.643650793650793,1.1961955900065266,FRASCO ,LABORATORIO QUIM-FAR,NACIONAL / IMPORTADO,,7592236001997,,0,0
M-1539,,ACETAMINOFEN 325 MG + IBUPROFENO 200 MG + CAFEINA 40 MG X 10 TAB,6.242063492063492,1.3230316854733981,BLISTER X 10 TAB,JMW,NACIONAL / IMPORTADO,,18906047594443,,0,0
M-1540,,ACETAMINOFEN 500 MG + TIOCOLCHICOSIDO 4 MG X 10 TAB,22.71904761904762,4.815397969276732,BLISTER X 10 TAB,JMW,NACIONAL / IMPORTADO,,18906047594450,,0,0
M-1509,,ACETAMINOFEN 500 MG X 10 TAB,2.0325396825396824,0.4308053587409246,BLISTER X 10 TAB,JMW,NACIONAL / IMPORTADO,,18906047595013,,0,0
M-1330,,ACETAMINOFEN 500 MG X 20 TAB,5.65,1.1975413310724885,CAJA X 20 TAB,LABORATORIO QUIM-FAR,NACIONAL / IMPORTADO,,7592236001973,,0,0
M-0592,,ACETAMINOFEN 500 MGX 20 TAB (ÉLTER),6.92,1.466723187791437,CAJA X 20 TAB,LA SANTÉ,NACIONAL / IMPORTADO,,7592454000031,,0,0
M-0903,,ACETAMINOFEN 650 MG X 10 COMPRIMIDOS,7.279999999999999,1.5430267062314538,CAJA X 10 COMP,SPEFAR,NACIONAL / IMPORTADO,,7590027001669,,0,0
M-0486,,ACETAMINOFEN 650MG X 10 TAB PLUSANDEX,3.858730158730159,0.8178741328381006,CAJA X 10 TAB,PLUSANDEX,NACIONAL / IMPORTADO,,7594001101604,,0,0
M-0223,,"ACETATO DE CIPROTERONA 2 MG + ETINILESTRADIOL 0,035 MG X 21 COMP (EQ. DIANE 35)",6.9875,1.48103009749894,CAJA X 21 COMP,MABRA,NACIONAL / IMPORTADO,,7898505093107,,0,0
M-1143,,ACEVAL (ACETAMINOFEN) 650 MG X 10 TAB,6.79453125,1.4401295570156847,CAJA X 10 TAB,VALMORCA,NACIONAL / IMPORTADO,,7591020000611,,0,0
L-0018,,ACICLOVIR 200 MG TABLETAS,4.962698412698413,1.0518648606821561,BLISTER X 10 TAB,LAND,NACIONAL / IMPORTADO,,7598008000090,,0,0
M-0938,,ACICLOVIR 200 MG x 24 TABLETAS (ÉLTER),16.951587301587303,3.5929604284839556,CAJA X 24 TAB,LA SANTÉ,NACIONAL / IMPORTADO,,7592454102001,,0,0
M-0414,,ACICLOVIR 200 MG X 25 TAB (07/2022),17.56,3.7219160661297157,CAJA X 25 TAB,CALOX ,NACIONAL / IMPORTADO,,7591519005639,,0,0
M-0915,,ACICLOVIR X 20 GR CREMA,22.547200000000004,4.778974141585419,TUBO X 20 GR,POLINAC,NACIONAL / IMPORTADO,,7592348201117,,0,0
L-0069,,ACIDO ACETILSALICILICO X 100 TAB,28.073809523809523,5.95036234078201,FRASCO X 100 TAB,LAND,NACIONAL / IMPORTADO,,7598008000762,,0,0
M-1275,,ACIDO FOLICO (FOLAC) 5 MG X 20 TAB,6.9,1.4624841034336584,CAJA X 20 TAB,RONAVA,NACIONAL / IMPORTADO,,7592806133158,,0,0
M-0574,,ACIDO FOLICO 10 MG  X 30 TAB,6.92,1.466723187791437,CAJA X 30 TAB,PLUSANDEX,NACIONAL / IMPORTADO,,7594001101345,,0,0
M-0845,,ACIDO FOLICO 10 MG X 20 TAB,4.55,0.9643916913946587,CAJA X 20 TAB,PLUSANDEX,NACIONAL / IMPORTADO,,7594001101338,,0,0
M-1394,,ACIDO TRANEXAMICO 500 MG/ 5 ML AMP IV,7.500793650793651,1.5898248518002651,AMPOLLA,JMW,NACIONAL / IMPORTADO,,8906089281298,,0,0
M-1395,,ACIDO VALPROICO 250/5 ML X 120 ML,23.349218750000002,4.94896539847393,FRASCO X 120 ML,JMW,NACIONAL / IMPORTADO,,8906089281397,,0,0
L-0056,,ACIDO VALPROICO 500 MG TABLETAS,6.7234375,1.425060936837643,BLISTER X 10 TAB,LAND,NACIONAL / IMPORTADO,,7598008000632,,0,0
M-1135,,"ADAPNE (ADAPALENO) 0,1 % X 30 GR GEL TOPICO",18.91190476190476,4.008457982599568,TUBO X 30 GR,GLENMARK,NACIONAL / IMPORTADO,,8904091148011,,0,0
M-0473,,AFLAMAX 50 MG X 10 TAB,5.117460317460318,1.0846672991649677,CAJA X 10 TAB,OFTALMI,NACIONAL / IMPORTADO,,7591196007186,,0,0
M-1666,,AGUA ESTERIL PARA INYECCION X 10 ML AMPOLLA,2.4984375,0.5295543662568886,AMPOLLA,JMW,NACIONAL / IMPORTADO,,203571228310,,0,0
V-0002,,AGUA MINERAL BIENESTAR 600 ML,28.569047619047623,6.055330143927008,CAJA X 20 UNIDADES,BIENESTAR,NACIONAL / IMPORTADO,,614143290732,,0,0
D-0095,,AGUA OXIGENADA AL 3% 10 VOL X 120 CC,2.5277777777777786,0.5357731618859217,FRASCO X 120 CC,EL GUARDIAN,NACIONAL / IMPORTADO,,7591959110217,,0,0
Q-006,,AGUJA HIPODERMICA 18 X 1 1/2 CAJA X 100,11.703272727272726,2.4805580176500053,CAJA X 100,IM-SUMEDICAL,MEDICO / QUIRURGICO,100,652931969200,,0,0
Q-005,,AGUJA HIPODERMICA 18 X 1 CAJA X 100,11.703272727272726,2.4805580176500053,CAJA X 100,IM-SUMEDICAL,MEDICO / QUIRURGICO,100,652931969194,,0,0
Q-008,,AGUJA HIPODERMICA 19 X 1 1/2 CAJA X 100,11.703272727272726,2.4805580176500053,CAJA X 100,IM-SUMEDICAL,MEDICO / QUIRURGICO,100,652931969224,,0,0
Q-007,,AGUJA HIPODERMICA 19 X 1 CAJA X 100,11.703272727272726,2.4805580176500053,CAJA X 100,IM-SUMEDICAL,MEDICO / QUIRURGICO,100,652931969217,,0,0
Q-010,,AGUJA HIPODERMICA 20 X 1 1/2 CAJA X 100,11.703272727272726,2.4805580176500053,CAJA X 100,IM-SUMEDICAL,MEDICO / QUIRURGICO,100,652931969248,,0,0
Q-009,,AGUJA HIPODERMICA 20 X 1 CAJA X 100,11.703272727272726,2.4805580176500053,CAJA X 100,IM-SUMEDICAL,MEDICO / QUIRURGICO,100,652931969231,,0,0
Q-016,,AGUJA HIPODERMICA 26 X 1/2 CAJA X 100,11.703272727272726,2.4805580176500053,CAJA X 100,IM-SUMEDICAL,MEDICO / QUIRURGICO,100,652931969323,,0,0
M-0562,,"AIRFEN INFANTIL 0,025% SOL. X 15 ML",14.0816,2.984654514624841,FRASCO 15 ML,COFASA,NACIONAL / IMPORTADO,,7591818111024,,0,0
M-0641,,AIRON (MONTELUKAST) 10 MG X 10 TAB REC ,12.43,2.6345909283594744,CAJA X 10 TAB,OFTALMI,NACIONAL / IMPORTADO,,7591196002563,,0,0
M-0555,,AIRON (MONTELUKAST) 5 MG X 10 TAB MASTICABLES PEDIATRICO,11.070634920634921,2.346467766137118,CAJA X 10 TAB,OFTALMI,NACIONAL / IMPORTADO,,7591196002549,,0,0
M-1579,,ALBEL (ALBENDAZOL) 400 MG X 3 COMPRIMIDOS,4.996875,1.0591087325137771,CAJA X 3 COMP,GEOLAB,NACIONAL / IMPORTADO,,7899095205062,,0,0
L-0039,,ALBENDAZOL 200 MG TABLETAS MASTICABLES,3.7039682539682537,0.785071694355289,BLISTER X 10 TAB,LAND,NACIONAL / IMPORTADO,,7598008000106,,0,0
M-1663,,ALBENDAZOL 200 MG X 6 TAB,6.262698412698413,1.3274053439377729,CAJA X 6 TAB,PLUSANDEX,NACIONAL / IMPORTADO,,7594001100256,,0,0
M-0573,,ALBENDAZOL 200MG X 2 TAB,3.4873015873015873,0.739148280479353,CAJA X 2 TAB,PLUSANDEX,NACIONAL / IMPORTADO,,7594001100263,,0,0
D-0028,,ALCOHOL ABSOLUTO EXTRAFINO 120 ML,10.42,2.208562950402713,FRASCO X 120 ML,FARMAGENIK,NACIONAL / IMPORTADO,,0011344402221,,0,0
