Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sucursal Barquisimeto 13/05/2022,,,,,,,,,,,,
Código,Codigo de Barras,Descripción del Material,Principio activo ,Laboratorio,Existencia,   Precio ,F.Venc ,Dcto,Crédito ,Precio Final ,Pedido,Bs. Pedido 
108552,7592432009384,LEVAX 50 MG X 1 CAP BLANDAS,SILDENAFIL,Vivax,6,4.78,30.05.2023,,35 DÍAS,4.78,,0
117349,7703153039424,KIMOD (IVERMECTINA) 3MG X 7 CAPS BLANDAS,IVERMECTIN,Vivax,78,15.17,28.02.2023,0.5,35 DÍAS,7.585,,0
117086,7592806112115,RONAVIT VITAMINA B1-B6-B12 VIAL 2ML,LA VITAMINA DEL COMPLEJO B,Ronava,45,6.49,30.05.2023,,35 DÍAS,6.49,,0
116343,7702605103720,CANDESARTAN 8 MG X 14 TAB,CANDESARTÁN,C.R. FARMAC. C.C.M,15,17.84,30.01.2023,,35 DÍAS,17.84,,0
116137,7502226295961,LOSARTAN 50 MG X 15 TAB,LOSARTAN,C.R. FARMAC. C.C.M,524,5.3,30.10.2022,,35 DÍAS,5.3,,0
115577,7592946012801,RABANO YODADO 120 ML,,ARCO IRIS LABORATORI,4,18.3,30.07.2023,0.1,35 DÍAS,16.47,,0
115590,7592946168324,CENTELLA CON ALCACHOFA X 90 CAPS,*CENTELLA ASIATICA*,ARCO IRIS LABORATORI,47,33.81,30.11.2024,0.1,35 DÍAS,30.429000000000002,,0
115582,7592946006022,GINSENG X 60 CAPSULAS,PANAX GINSENG,ARCO IRIS LABORATORI,17,33.81,30.10.2023,0.1,35 DÍAS,30.429000000000002,,0
116183,7592946000013,ARTRISAN 300MG X 90 CAPSULAS,MENTHA PIPERITA; PETIVERIA ALLIACEA; SMILAX OFFICINALIS; UNCARIA TOMENTOSA,ARCO IRIS LABORATORI,65,20.39,30.06.2023,0.1,35 DÍAS,18.351,,0
115783,7592946064244,ESTIN JARABE 240 ML,,ARCO IRIS LABORATORI,34,23.52,30.09.2023,0.1,35 DÍAS,21.168,,0
115586,7592946168553,CLORURO DE MAGNESIO 240 ML,CLORURO DE BENZALCONIO; POLIETILENO,ARCO IRIS LABORATORI,23,24.86,30.11.2023,0.1,35 DÍAS,22.374,,0
115851,7592946064251,NERSAN JARABE 240 ML,MELISSA OFFICINALIS; PASSIFLORA INCARNATA; TILIA PLATYPHYLLOS; VALERIANA OFFICINALIS,ARCO IRIS LABORATORI,24,18.19,30.09.2023,0.1,35 DÍAS,16.371000000000002,,0
115999,7592946169628,ZANAES JARABE 240ML,DAUCUS CAROTA,ARCO IRIS LABORATORI,34,21.82,30.08.2023,0.1,35 DÍAS,19.638,,0
115578,7592946000099,QUINCHONCHO 90 CAPSULAS,,ARCO IRIS LABORATORI,46,23.64,30.09.2024,0.1,35 DÍAS,21.276,,0
