Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Clasificación
,,,,,,,,,,,,,,,,,,,,,,,,,,TABLETAS
,,,2022-05-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,MISCELANEOS
,,,,,,,,,,,,,,,,,,,,,,,,,,JARABE-GOTAS-INHALADORES- OTROS
,,,,,,,,,,,,,,,,,,,,,,,,,,SUPOSITORIOS-CREMAS-OVULOS
,,,,,,,,,,,,,,,,,,,,,,,,,,AMPOLLA Y SOLUCIONES
,,,,,,,,,,,,,,,,,,,,,,,,,,MMQ
,,Listado de Productos Disponibles,,,,,,,Unidades,Monto,,,,,,,,,,,,,,,,BELLEZA Y CUIDADO PERSONAL
,,Precios y Existencias Sujetos a Cambio sin Previo Aviso,,,,,,,0,0,,,,,,,,,,,,,,,,ALIMENTOS
,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORIA,COD BARRAS,CODIGO,DESCRIPCION,PRECIO UNIT,OFERTA,PRECIO,INVENTARIO,FEC LOTE,PEDIDO,MONTO,,,,,,,,,,,,,,,,PSICOTROPICOS Y CONTROLADO
TABLETAS,733739001054,005280,5- HTP (NEUROTRANSMISOR) 100 MG X 60 CAP (NOW),27.5,0,27.5,10,2026-10-01 00:00:00,,0,,,,,,,,,,,,,,,,MAQUILLAJE
TABLETAS,7898593050945,004344,ACALENTUS (L-TRITOF+ASS) (ACIDO FOLICO+MAGNESIO+VITB6+VITB12 X 60 CAPSULAS MAXNUTRI,7.1,0,7.1,11,2023-03-01 00:00:00,,0,,,,,,,,,,,,,,,,0
TABLETAS,8906112610491,001888,ACECLOFENACO (PRAFENAC) 100 MG X 10 TAB ADN MEDICAL (CAJA),0.9,0,0.9,176,2024-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7596049000123,005258,ACEITE CREMOSO 200 GR DERNIER,2.552,0,2.552,48,2024-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7594001450030,000003,ACEITE DE ALMENDRAS 30CM RECETTE,5.22,0,5.22,63,2023-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7591616000032,005232,ACEITE DE ALMENDRAS DULCES 30 ML BIOFARCO,1.15,0,1.15,220,2024-10-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7591616000056,005233,ACEITE DE COCO 30 ML BIOFARCO,1.25,0,1.25,226,2025-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7594001455356,001321,ACEITE DE COCO 70 ML SPRAY RECETTE MARK,4.408,0,4.408,61,2024-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592782001847,004610,ACEITE DE LINAZA ( LEVINZOL ) OMEGA 3-6-9 X 30 CAPSULAS (VINCENTI),4.8,0,4.8,123,2023-09-30 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7591616000131,005234,ACEITE DE RICINO 30 ML BIOFARCO,1.75,0,1.75,232,2025-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,8906130231326,003986,ACETAM + CLORFENIRA (BRIXFLU) 125MG + 1MG - 5ML JBE PED 120ML (BRIX),4.75,0,4.75,112,2024-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,,003148,ACETAMINOFEN - CLORFENIRAMINA 500MG/2MG X10 TAB (BLISTER) BRIX MEDIC,0.75,0,0.75,1238,2023-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591020000611,002182,ACETAMINOFEN (ACEVAL)  650 MG X 10 TAB (VALMORCA) CAJA,1.4,0,1.4,207,2026-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591519006674,004958,ACETAMINOFEN (AMITAFEN) 650 MG X 14 TAB (CALOX),2.25,0,2.25,33,2025-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7593090000034,005107,ACETAMINOFEN (APYRENE) 650 MG X 10 CAP (FC PHARMA),1.95,0,1.95,100,2025-02-28 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591818716755,000259,ACETAMINOFEN (BREXIN FORTE) 650MG X 10 TAB,1.3,0,1.3,29,2024-08-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598127000988,004148,ACETAMINOFEN + PLUS 800MG X 10 TAB (CAJA) BLUE MEDICAL,0.8,0,0.8,469,2024-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592229000020,000051,ACETAMINOFEN +CODEINA (ACUTEN) 500 MG -25 MG X 20 TAB FARMA,5.7,0,5.7,14,2023-10-31 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7598484000027,000010,ACETAMINOFEN 120MG/5ML 120ML JBE QUIM-FA,1.9,0,1.9,200,2024-04-30 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7591821101692,001190,ACETAMINOFEN 125 MG + CLORFERINIRAMINA 1MG TERAGRIP SABOR UVA JBE PED 120ML,3.6,0,3.6,41,2024-03-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598578000384,005129,ACETAMINOFEN 325 MG  + TRAMADOL  37.5 MG X 30 COMPRIMIDOS DAC 55,3.05,0,3.05,188,2024-12-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7592601000051,004644,ACETAMINOFEN 325 MG +CLORFENIRAMINA 1.25MG (NOXPIRIN) SOL ORAL PEDIATRICO 120 ML (SIEGFRIED),5.35,0,5.35,19,2023-05-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591243826708,000716,ACETAMINOFEN 450MG DIHIDROERGOTAMNA 1MG CAFEINA 40MG (IVAGAN) X 10 TAB (CAJA) BIOTECH,2.9,0,2.9,140,2022-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598252000198,004510,ACETAMINOFEN 500 MG + CLORFENIRAMINA 4 MG (DLORACE) X20 TABLETAS (DISTRILAB),1.8,0,1.8,395,2024-10-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,6921875008530,002491,ACETAMINOFEN 500 MG X 10 TAB (KMPLUS) (CAJA),0.4,0,0.4,3571,2024-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592236001973,003099,ACETAMINOFEN 500 MG X 20 TAB (CAJA) QUIM-FAR,1.05,0,1.05,68,2024-05-30 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,18906047594450,004453,ACETAMINOFEN 500MG +TIOCOLCHICOSIIDO 4MG X 10 TAB (JMW),4.95,0,4.95,835,2024-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7703038050018,000017,ACETAMINOFEN 500MG X 10 TAB (BLISTER) LAPROFF,0.3,0,0.3,74024,2024-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591243826777,000715,ACETAMINOFEN 650 - DIHIDROERGOTAMINA 1MG - CAFEINA40MG (IVAGAN FORTE) X 10 TAB (CAJA) BIOTECH,3.35,0,3.35,130,2023-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906130231180,003157,ACETAMINOFEN 650 MG - CAFEINA 50 MG - ERGOTAMINA 1 MG (DOLOBRIX) X 10 TAB (BLISTER) BRIXMEDIC,0.65,0,0.65,293,2023-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7592236001997,005044,ACETAMINOFEN GOTAS  10% 15 ML QUIMFAR,1.35,0,1.35,242,2024-04-30 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7703038060970,004556,ACETAMINOFEN GOTAS (SABOR CEREZA) 30 ML LAPROFF,1.4,0,1.4,470,2024-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7468191030047,002904,ACETAMINOFEN GOTAS PED 100 MG / 1 ML - 15 ML (S.R.L),1.4,0,1.4,479,2025-09-03 00:00:00,,0,,,,,,,,,,,,,,,,
SUPOSITORIOS-CREMAS-OVULOS,6921875011363,002290,ACETAMINOFEN SUPOSITORIOS 100 MG X 6 UND ( KMPLUS) (CAJA),0.95,0,0.95,411,2023-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906130231319,003149,ACETAMINOFEN+CLORFENIRAMINA 500MG/4MG X 10 TAB BRIX MEDIC (BLISTER),0.75,0,0.75,1551,2023-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,18906047594443,004185,ACETAMINOFEN+IBUPROFENO+CAFEINA 325//200/40 MG X10 TABLETAS JMW (BLISTER),1.4,0,1.4,1026,2024-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591519008494,001456,ACETAMINOFEN-TRAMADOL 325MG-37.5MG X 10 TAB CALOX,3.4,0,3.4,126,2024-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
SUPOSITORIOS-CREMAS-OVULOS,7898216361939,004547,ACETATO DE DEXAMETASONA 1MG / 10 GR CREMA (PHARLAB),1.6,0,1.6,41,2024-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,7598852000987,004927,ACETONIDA DE TRIAMCINOLONA 10MG  / 5 ML (KENTUNI) INTRAARTICULAR/INTRAMUSCULAR UNIPHA,11.2,0,11.2,206,2024-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7707355050034,005251,ACIBATH -S DERMOLIMPIADOR 120 G SEGFRIED,10.266,0,10.266,6,2023-06-30 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598008000090,001470,ACICLOVIR 200 MG TABL X 10 LAND (BLISTER),1.1,0,1.1,313,2024-10-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,6921875010748,000022,ACICLOVIR 200MG X 10 TAB (CAJA) KMPLUS,1.15,0,1.15,1153,2023-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,7707236126476,000024,ACICLOVIR 250MG I.V (AMP) VITALIS,2.8,0,2.8,106,2024-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,6942189304224,003176,ACICLOVIR 400 MG X 10 TAB (CAJA) KMPLUS,1.25,0,1.25,869,2024-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,ACICLOBALAXI,000025,ACICLOVIR 400MG X 10 TAB BALAXI,1.15,0,1.15,774,2023-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
SUPOSITORIOS-CREMAS-OVULOS,8904307701047,001279,ACICLOVIR 5% (WELLOVIR) CREMA 5GR WELLONA PHARMA,1.4,0,1.4,264,2024-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
